央视,#genre#
抖音热歌,http://192.168.0.101:35455/rptv/GITV-JS-6.m3u8?license=gitv
影视综金曲MV,http://192.168.0.101:35455/rptv/GITV-JS-15.m3u8?license=gitv
怀旧MTV,http://192.168.0.101:35455/rptv/GITV-JS-37.m3u8?license=gitv
KTV热歌,http://192.168.0.101:35455/rptv/GITV-JS-69.m3u8?license=gitv
玫瑰的故事,http://192.168.0.101:35455/rptv/GITV-JS-68.m3u8?license=gitv
亮剑,http://192.168.0.101:35455/rptv/GITV-JS-70.m3u8?license=gitv
影视剧场,http://192.168.0.101:35455/rptv/GITV-JS-1.m3u8?license=gitv
第一院线,http://192.168.0.101:35455/rptv/GITV-JS-2.m3u8?license=gitv
与凤行,http://192.168.0.101:35455/rptv/GITV-JS-3.m3u8?license=gitv
居家健身,http://192.168.0.101:35455/rptv/GITV-JS-4.m3u8?license=gitv
新白娘子传奇,http://192.168.0.101:35455/rptv/GITV-JS-7.m3u8?license=gitv
德凯奥特曼,http://192.168.0.101:35455/rptv/GITV-JS-9.m3u8?license=gitv
熊出没,http://192.168.0.101:35455/rptv/GITV-JS-10.m3u8?license=gitv
超级飞侠,http://192.168.0.101:35455/rptv/GITV-JS-11.m3u8?license=gitv
小猪佩奇,http://192.168.0.101:35455/rptv/GITV-JS-12.m3u8?license=gitv
汪汪队立大功,http://192.168.0.101:35455/rptv/GITV-JS-13.m3u8?license=gitv
高分电影,http://192.168.0.101:35455/rptv/GITV-JS-14.m3u8?license=gitv
热门综艺,http://192.168.0.101:35455/rptv/GITV-JS-16.m3u8?license=gitv
美食美味,http://192.168.0.101:35455/rptv/GITV-JS-17.m3u8?license=gitv
自然风景,http://192.168.0.101:35455/rptv/GITV-JS-18.m3u8?license=gitv
动物世界,http://192.168.0.101:35455/rptv/GITV-JS-19.m3u8?license=gitv
书籍解读,http://192.168.0.101:35455/rptv/GITV-JS-20.m3u8?license=gitv
亲子玩具,http://192.168.0.101:35455/rptv/GITV-JS-21.m3u8?license=gitv
广场舞,http://192.168.0.101:35455/rptv/GITV-JS-22.m3u8?license=gitv
戏曲音乐,http://192.168.0.101:35455/rptv/GITV-JS-23.m3u8?license=gitv
相声联欢,http://192.168.0.101:35455/rptv/GITV-JS-24.m3u8?license=gitv
